experimentId	experiment
experiment__JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__1	-inf:control;0:JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__1
experiment__JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__2	-inf:control;0:JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__2
experiment__JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__3	-inf:control;0:JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__3
experiment__JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__4	-inf:control;0:JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__4
experiment__JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__5	-inf:control;0:JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__5
experiment__JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__6	-inf:control;0:JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl__6
experiment__JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk__1	-inf:control;0:JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk__1
experiment__JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk__2	-inf:control;0:JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk__2
experiment__JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk__3	-inf:control;0:JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk__3
experiment__JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk__4	-inf:control;0:JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk__4
experiment__JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk__5	-inf:control;0:JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk__5
experiment__JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk__6	-inf:control;0:JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_Fsk__6
experiment__JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl__1	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl__1
experiment__JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl__2	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl__2
experiment__JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl__3	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl__3
experiment__JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl__4	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl__4
experiment__JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl__5	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl__5
experiment__JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl__6	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_ctrl__6
experiment__JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_Fsk__1	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_Fsk__1
experiment__JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_Fsk__2	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_Fsk__2
experiment__JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_Fsk__3	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_Fsk__3
experiment__JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_Fsk__4	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_Fsk__4
experiment__JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_Fsk__5	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_Fsk__5
experiment__JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_Fsk__6	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp_cAMPS_pAB_and_Fsk__6
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__1	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__1
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__2	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__2
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__3	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__3
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__4	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__4
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__5	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__5
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__6	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__6
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__1	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__1
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__2	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__2
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__3	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__3
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__4	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__4
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__5	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__5
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__6	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__6
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__1	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__1
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__2	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__2
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__3	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__3
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__4	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__4
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__5	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__5
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__6	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__6
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__1	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__1
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__2	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__2
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__3	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__3
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__4	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__4
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__5	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__5
experiment__JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__6	-inf:control;0:JI09_150302_Drg345_343_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__6
experiment__control	-inf:control;0:control
experiment__JI09_150330_Drg350_348_CycNuc__Fsk10	-inf:control;0:JI09_150330_Drg350_348_CycNuc__Fsk10
experiment__JI09_150330_Drg350_348_CycNuc__IBMX100_and_Fsk10	-inf:control;0:JI09_150330_Drg350_348_CycNuc__IBMX100_and_Fsk10
experiment__JI09_150330_Drg350_348_CycNuc__IBMX100	-inf:control;0:JI09_150330_Drg350_348_CycNuc__IBMX100
experiment__JI09_150330_Drg350_348_CycNuc__Sp8_Br_cAMPS_AM10	-inf:control;0:JI09_150330_Drg350_348_CycNuc__Sp8_Br_cAMPS_AM10
experiment__JI09_150330_Drg353_351_CycNuc__4_ABnOH_and_ctrl__1	-inf:control;0:JI09_150330_Drg353_351_CycNuc__4_ABnOH_and_ctrl__1
experiment__JI09_150330_Drg353_351_CycNuc__4_ABnOH_and_ctrl__2	-inf:control;0:JI09_150330_Drg353_351_CycNuc__4_ABnOH_and_ctrl__2
experiment__JI09_150330_Drg353_351_CycNuc__4_ABnOH_and_ctrl__3	-inf:control;0:JI09_150330_Drg353_351_CycNuc__4_ABnOH_and_ctrl__3
experiment__JI09_150330_Drg353_351_CycNuc__4_ABnOH_and_ctrl__4	-inf:control;0:JI09_150330_Drg353_351_CycNuc__4_ABnOH_and_ctrl__4
experiment__JI09_150330_Drg353_351_CycNuc__4_ABnOH_and_ctrl__5	-inf:control;0:JI09_150330_Drg353_351_CycNuc__4_ABnOH_and_ctrl__5
experiment__JI09_150330_Drg353_351_CycNuc__4_ABnOH_and_ctrl__6	-inf:control;0:JI09_150330_Drg353_351_CycNuc__4_ABnOH_and_ctrl__6
experiment__JI09_150330_Drg353_351_CycNuc__4_ABnOH_and_ctrl__7	-inf:control;0:JI09_150330_Drg353_351_CycNuc__4_ABnOH_and_ctrl__7
experiment__JI09_150330_Drg353_351_CycNuc__4-ABnOH_and_Fsk__1	-inf:control;0:JI09_150330_Drg353_351_CycNuc__4-ABnOH_and_Fsk__1
experiment__JI09_150330_Drg353_351_CycNuc__4-ABnOH_and_Fsk__2	-inf:control;0:JI09_150330_Drg353_351_CycNuc__4-ABnOH_and_Fsk__2
experiment__JI09_150330_Drg353_351_CycNuc__4-ABnOH_and_Fsk__3	-inf:control;0:JI09_150330_Drg353_351_CycNuc__4-ABnOH_and_Fsk__3
experiment__JI09_150330_Drg353_351_CycNuc__4-ABnOH_and_Fsk__4	-inf:control;0:JI09_150330_Drg353_351_CycNuc__4-ABnOH_and_Fsk__4
experiment__JI09_150330_Drg353_351_CycNuc__4-ABnOH_and_Fsk__5	-inf:control;0:JI09_150330_Drg353_351_CycNuc__4-ABnOH_and_Fsk__5
experiment__JI09_150330_Drg353_351_CycNuc__4-ABnOH_and_Fsk__6	-inf:control;0:JI09_150330_Drg353_351_CycNuc__4-ABnOH_and_Fsk__6
experiment__JI09_150330_Drg353_351_CycNuc__4-ABnOH_and_Fsk__7	-inf:control;0:JI09_150330_Drg353_351_CycNuc__4-ABnOH_and_Fsk__7
experiment__JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_ctrl__1	-inf:control;0:JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_ctrl__1
experiment__JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_ctrl__2	-inf:control;0:JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_ctrl__2
experiment__JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_ctrl__3	-inf:control;0:JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_ctrl__3
experiment__JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_ctrl__4	-inf:control;0:JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_ctrl__4
experiment__JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_ctrl__5	-inf:control;0:JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_ctrl__5
experiment__JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_ctrl__6	-inf:control;0:JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_ctrl__6
experiment__JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_ctrl__7	-inf:control;0:JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_ctrl__7
experiment__JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_Fsk__1	-inf:control;0:JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_Fsk__1
experiment__JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_Fsk__2	-inf:control;0:JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_Fsk__2
experiment__JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_Fsk__3	-inf:control;0:JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_Fsk__3
experiment__JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_Fsk__4	-inf:control;0:JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_Fsk__4
experiment__JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_Fsk__5	-inf:control;0:JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_Fsk__5
experiment__JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_Fsk__6	-inf:control;0:JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_Fsk__6
experiment__JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_Fsk__7	-inf:control;0:JI09_150330_Drg353_351_CycNuc__Rp_cAMPS_pAB_and_Fsk__7
experiment__JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__1	-inf:control;0:JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__1
experiment__JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__2	-inf:control;0:JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__2
experiment__JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__3	-inf:control;0:JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__3
experiment__JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__4	-inf:control;0:JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__4
experiment__JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__5	-inf:control;0:JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__5
experiment__JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__6	-inf:control;0:JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__6
experiment__JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__7	-inf:control;0:JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl__7
experiment__JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__1	-inf:control;0:JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__1
experiment__JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__2	-inf:control;0:JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__2
experiment__JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__3	-inf:control;0:JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__3
experiment__JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__4	-inf:control;0:JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__4
experiment__JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__5	-inf:control;0:JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__5
experiment__JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__6	-inf:control;0:JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__6
experiment__JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__7	-inf:control;0:JI09_150330_Drg353_351_CycNuc__Rp8_Br_cAMPS_pAB_and_Fsk__7
experiment__JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__1	-inf:control;0:JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__1
experiment__JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__2	-inf:control;0:JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__2
experiment__JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__3	-inf:control;0:JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__3
experiment__JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__4	-inf:control;0:JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__4
experiment__JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__5	-inf:control;0:JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__5
experiment__JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__6	-inf:control;0:JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__6
experiment__JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__7	-inf:control;0:JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_ctrl__7
experiment__JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__1	-inf:control;0:JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__1
experiment__JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__2	-inf:control;0:JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__2
experiment__JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__3	-inf:control;0:JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__3
experiment__JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__4	-inf:control;0:JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__4
experiment__JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__5	-inf:control;0:JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__5
experiment__JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__6	-inf:control;0:JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__6
experiment__JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__7	-inf:control;0:JI09_150330_Drg353_351_CycNuc__Rp8_pCPT_cAMPS_pAB_and_Fsk__7
experiment__JI09_151102_Drg421_418_Age__ctrl_and_Fsk1	-inf:control;0:JI09_151102_Drg421_418_Age__ctrl_and_Fsk1
experiment__JI09_151102_Drg421_418_Age__ctrl_and_Fsk3	-inf:control;0:JI09_151102_Drg421_418_Age__ctrl_and_Fsk3
experiment__JI09_151102_Drg421_418_Age__ctrl_and_Fsk10	-inf:control;0:JI09_151102_Drg421_418_Age__ctrl_and_Fsk10
experiment__JI09_151102_Drg421_418_Age__H894_and_Fsk3	-inf:control;0:JI09_151102_Drg421_418_Age__H894_and_Fsk3
experiment__JI09_151102_Drg421_418_Age__H8910_and_Fsk3	-inf:control;0:JI09_151102_Drg421_418_Age__H8910_and_Fsk3
experiment__JI09_151102_Drg421_418_Age__H8925_and_Fsk3	-inf:control;0:JI09_151102_Drg421_418_Age__H8925_and_Fsk3
experiment__JI09_151102_Drg421_418_Age__H8925_and_ctrl	-inf:control;0:JI09_151102_Drg421_418_Age__H8925_and_ctrl
experiment__JI09_160126_Drg449_444_CycNuc__Fsk10_and_IBMX100	-inf:control;0:JI09_160126_Drg449_444_CycNuc__Fsk10_and_IBMX100
experiment__JI09_160126_Drg449_444_CycNuc__Sp8_Br_cAMPS_AM10	-inf:control;0:JI09_160126_Drg449_444_CycNuc__Sp8_Br_cAMPS_AM10
experiment__JI09_160201_Drg453-452_CycNuc__Fsk	-inf:control;0:JI09_160201_Drg453-452_CycNuc__Fsk
experiment__JI09_160201_Drg453-452_CycNuc__Sp8_Br_cAMPS_AM	-inf:control;0:JI09_160201_Drg453-452_CycNuc__Sp8_Br_cAMPS_AM
